ORANGE=Needs to appear in Anime     CYAN=Re-color that needs to appear in Anime
D#,English Name,Level,Group,Type,Size,English Technique
508,Murmuxmon,M,,,,
509,Onismon,M,,,,
510,Chaosdramon,M,,,,
511,Arkadimon,Fresh-Mega,*Ultimate appeared in anime*,,,
512,Strabimon,R,,,,
513,PileVolcamon,M,,,,
514,UlForceVeedramon,M,,,,
515,Puttomon,Fresh,,,,
516,Cupimon,I-T,,,,
517,Witchmon,U,,,,
518,NeoDevimon,U,,,,
519,Lilithmon,M,,,,
520,RhinoKabuterimon,H,,,,
521,JetSilphymon,H,,,,
522,Daipenmon,H,,,,
523,Reichmon,H,,,,
524,Betsumon,U,,,,
525,Dynasmon,M,,,,
526,Crusadermon,M,,,,
527,Dodomon,Fresh,,,,
528,Dorimon,I-T,,,,
529,Dorumon,R,,,,Metal Cannon
530,Dorugamon,C,,,,
531,Reptiledramon,C,,,,
532,Dorugreymon,U,,,,
533,Grademon,U,,,,
534,Dorugoramon,M,,,,
535,Alphamon,M,,,,
536,GigaSeadramon,M,,,,
537,GrandisKuwagamon,M,,,,
538,Dexdorugamon,C,,,,
539,Dexdorugreymon,U,,,,
540,Dexdorugoramon,M,,,,
541,Gaioumon,M,,,,
542,Fufumon,Fresh,,,,
543,Kyokyomon,I-T,,,,
544,Ryudamon,R,,,,
545,Ginryumon,C,,,,
546,TobuCatmon,C,,,,
547,Hisharyumon,U,,,,
548,SkullBaluchimon,U,,,,Grave Bone
549,Mametyramon,U,,,,
550,Ouryumon,M,,,,
551,Dinotigemon,M,,,,
552,Dinorexmon,M,,,,
553,MedievalGallantmon,M,,,,
554,UltimateBrachiomon,M,,,,
555,Pupumon,Fresh,,,,
556,Puroromon,I-T,,,,
557,Fanbeemon,R,,,,
558,Waspmon,C,,,,
559,Omekamon,U,,,,
560,Cannonbeemon,U,,,,
561,Metalphantomon,U,,,,
562,Tigervespamon,M,,,,
563,Metalpiranhamon,,,,,
564,Dexmon,,,,,
565,Wisemon,U,,,,
566,Mistymon,U,,,,
567,Gladimon,C,,,,
568,Kenkimon,,,,,
569,Mermaimon,U,,,,
570,Leviamon,M,,,,
571,Barbamon,M,,,,
572,ShadowSeraphimon,M,,Virus,,Strike of the 7 Dark Stars
